iter	Logloss
0	0.6791837516
1	0.6683367735
2	0.6553614508
3	0.6436457972
4	0.6368218595
5	0.6268474382
6	0.6181986912
7	0.6089303805
8	0.5987450462
9	0.5913045042
10	0.5822385707
11	0.5742933707
12	0.5676514413
13	0.5609050909
14	0.5538381643
15	0.5470516227
16	0.5408931528
17	0.5357493121
18	0.5298920401
19	0.5242922139
20	0.5195986358
21	0.5145026123
22	0.5103304268
23	0.5064011929
24	0.5026097954
25	0.4987818521
26	0.4950169559
27	0.4915480691
28	0.4876131742
29	0.4843680617
30	0.4810991168
31	0.4781133724
32	0.475134231
33	0.4719925894
34	0.4694164253
35	0.4667972567
36	0.4642549311
37	0.4620530036
38	0.4600124121
39	0.4579253383
40	0.4557713381
41	0.454165306
42	0.4526770747
43	0.4507259332
44	0.4489151324
45	0.4473372717
46	0.4458286415
47	0.4440799043
48	0.4426866359
49	0.4410852893
50	0.4395111586
51	0.4384922511
52	0.4369276339
53	0.4354611955
54	0.4343262427
55	0.4338038516
56	0.432446027
57	0.4314430189
58	0.430211549
59	0.429056126
60	0.4281734621
61	0.4273963162
62	0.4262818224
63	0.4255503998
64	0.424443116
65	0.4234857702
66	0.4226261876
67	0.422298037
68	0.4214214066
69	0.4207336454
70	0.419758451
71	0.4190449083
72	0.4183473411
73	0.4176786031
74	0.4170628901
75	0.4165736845
76	0.4157296407
77	0.4149814312
78	0.4144062133
79	0.4140029009
80	0.4133075277
81	0.4131574515
82	0.4123852398
83	0.411832535
84	0.4112313127
85	0.410755724
86	0.4102129547
87	0.4100473894
88	0.4098937611
89	0.4095640167
90	0.4093880066
91	0.4090933576
92	0.4087969805
93	0.4087235218
94	0.4083920244
95	0.4079996113
96	0.4074342545
97	0.4070036231
98	0.4065349373
99	0.4061276219
100	0.4056955542
101	0.4053061449
102	0.4046568273
103	0.4045286961
104	0.4041893701
105	0.4037761638
106	0.4032999369
107	0.4027741531
108	0.4022907074
109	0.4019135477
110	0.4016175987
111	0.401181971
112	0.4011729622
113	0.4008113227
114	0.4003291483
115	0.4000994746
116	0.3997792079
117	0.3994000898
118	0.3991659067
119	0.3990360393
120	0.3987071149
121	0.3982675582
122	0.3980097914
123	0.3977641739
124	0.397707813
125	0.3976536996
126	0.3973015434
127	0.3970170122
128	0.3966765591
129	0.3966279055
130	0.3964594725
131	0.3961524414
132	0.3959887333
133	0.3959059099
134	0.395865025
135	0.3956072836
136	0.3951683136
137	0.3948840885
138	0.3946592587
139	0.3943815332
140	0.3941551193
141	0.3937335746
142	0.3934959935
143	0.3934652629
144	0.3932286772
145	0.3929491392
146	0.3928636854
147	0.3927513996
148	0.3925979519
149	0.3922920917
150	0.3920740701
151	0.3918009831
152	0.3915124542
153	0.3913646861
154	0.3913397443
155	0.3912368514
156	0.3910767796
157	0.3909483781
158	0.3907840071
159	0.3905163018
160	0.3903344975
161	0.3901680135
162	0.3899443381
163	0.3898314906
164	0.3897331948
165	0.3895465656
166	0.3893801427
167	0.3890982947
168	0.3890355467
169	0.3888814342
170	0.3886450508
171	0.3886162617
172	0.3884885544
173	0.3884765437
174	0.3884561198
175	0.3882787043
176	0.3881180775
177	0.3880760437
178	0.3879417549
179	0.3878441151
180	0.3878004191
181	0.3876691938
182	0.3876133534
183	0.3875402558
184	0.3874619859
185	0.3870672395
186	0.3870124577
187	0.386915667
188	0.3869010108
189	0.3868194531
190	0.3866695989
191	0.3866546141
192	0.386572295
193	0.3862563099
194	0.386090301
195	0.3860206141
196	0.3858112024
197	0.385731615
198	0.3855536476
199	0.3855536445
200	0.3854926966
201	0.3853338429
202	0.3853293125
203	0.3851877339
204	0.385132212
205	0.3850805187
206	0.384871484
207	0.3847093568
208	0.3846820144
209	0.384503886
210	0.3845037083
211	0.3843808042
212	0.3842513938
213	0.3842498242
214	0.3840685269
215	0.3840447906
216	0.3840095097
217	0.3838648764
218	0.3837564698
219	0.3836598008
220	0.3834664651
221	0.3833952768
222	0.3831871244
223	0.3831514082
224	0.3831256816
225	0.3830437493
226	0.3829947254
227	0.3828895946
228	0.3828812202
229	0.3827753197
230	0.3826840469
231	0.3825360465
232	0.3825001277
233	0.382498141
234	0.3824196404
235	0.3823408617
236	0.3823376371
237	0.3821690197
238	0.3821294169
239	0.3820534378
240	0.3819624794
241	0.3818997675
242	0.3818866021
243	0.3818606362
244	0.3817705652
245	0.3816645317
246	0.381444749
247	0.3814447486
248	0.3813815551
249	0.3813716586
250	0.3813716555
251	0.3812263117
252	0.3809689877
253	0.3807645208
254	0.3805169552
255	0.3802860722
256	0.3802102894
257	0.3801864091
258	0.3801685946
259	0.380017636
260	0.3798830019
261	0.3798413564
262	0.3797153287
263	0.3795546701
264	0.3794858478
265	0.3794704146
266	0.3793850522
267	0.379315375
268	0.379281543
269	0.3791156992
270	0.3790267003
271	0.3789359157
272	0.3789152679
273	0.3788535243
274	0.3788388731
275	0.3787629648
276	0.3787058195
277	0.3786127684
278	0.3786126623
279	0.378609302
280	0.3783869943
281	0.3782776341
282	0.3782470663
283	0.3782290683
284	0.3782033345
285	0.3781724501
286	0.3780844392
287	0.3779092968
288	0.3779092916
289	0.3778968498
290	0.3778763289
291	0.3777089415
292	0.3774963172
293	0.3773965021
294	0.3773854771
295	0.3772898023
296	0.3772754362
297	0.3771884413
298	0.377141205
299	0.3770938446
